ID,Input,Expected,English,Intent,Correct,Flags,Trans Time,LLM Time,Total Time
gen_21,පස්සට යන්න,PREVIOUS_PAGE,Go back to the drawing board .,PREVIOUS_ARTICLE,False,"{""language_style"": ""simple""}",2.929,4.063,6.992
gen_22,කලින් පිටුව පෙරලන්න,PREVIOUS_PAGE,Previous page,PREVIOUS_PAGE,True,"{""language_style"": ""simple""}",1.287,3.848,5.136
gen_23,මේ විස්තරේ ගොඩක් දිග වැඩියි කෙටියෙන් කියන්න,SIMPLIFY,This is a very long detail.,SUMMARIZE,False,"{""detail_level"": ""detailed""}",2.771,4.041,6.812
gen_24,වෙන මොනවද අද පත්තරේ තියෙන්නේ,READ_HEADLINES,What else is in today's paper?,READ_ARTICLE,False,"{""language_style"": ""simple""}",3.183,3.946,7.129
gen_25,වාණිජ පුවත් තියෙන පිටුවට යන්න,NAVIGATE_SECTION,Go to the commercial news page,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.494,3.943,5.437
gen_26,අර කලින් කියවපු ප්‍රවෘත්තියට ආයෙත් යන්න පුළුවන්ද,PREVIOUS_ARTICLE,Can you go back to that old news story ?,PREVIOUS_ARTICLE,True,"{""language_style"": ""simple""}",2.266,4.157,6.423
gen_27,මට මේ ඡේදය පියවරෙන් පියවර පැහැදිලි කරලා දෙන්න,EXPLAIN,Let me explain this paragraph step by step,EXPLAIN,True,"{""language_style"": ""simple""}",1.92,3.865,5.785
gen_28,සාරාංශය මොකක්ද,SUMMARIZE,What is the summary?,SUMMARIZE,True,"{""language_style"": ""simple""}",1.504,3.783,5.287
gen_29,ඔය කියපු දේ මට පැහැදිලි මදි වෙන වචන වලින් කියන්න,REPHRASE,Tell me what you said in no other words,EXPLAIN,False,"{""language_style"": ""simple""}",2.102,4.049,6.151
gen_30,දැන් කියවීම නවතන්න,STOP,Now stop reading,STOP,True,"{""speed"": ""fast""}",1.019,3.85,4.868
gen_31,දිනමිණ පුවත්පතේ අද කතුවැකිය කියවන්න,READ_ARTICLE,Read today's article in the daily newspaper,READ_ARTICLE,True,"{""language_style"": ""simple""}",2.398,4.018,6.416
gen_32,ඊළඟ පිටුව,NEXT_PAGE,Next page,NEXT_PAGE,True,"{""language_style"": ""simple""}",0.815,4.24,5.055
gen_33,මේකේ තියෙන අමාරු වචන ටික සරල කරලා කියන්න,SIMPLIFY,Let me simplify the hardest words in this.,SIMPLIFY,True,"{""language_style"": ""simple""}",2.345,3.87,6.215
gen_34,මොකක්ද ඒ කිව්වේ ආයෙත් කියන්නකෝ,REPEAT,What did you say ?,EXPLAIN,False,"{""language_style"": ""simple""}",1.105,3.954,5.059
gen_35,වෙනත් මාතෘකා මොනවද තියෙන්නේ,READ_HEADLINES,What are the other topics?,NAVIGATE_SECTION,False,"{""language_style"": ""simple""}",1.459,3.993,5.452
gen_36,මේ පුවත විතරක් සාරාංශ කරන්න,SUMMARIZE,Just summarize this story.,SUMMARIZE,True,"{""language_style"": ""simple""}",1.404,3.872,5.276
gen_37,පෙර පුවත,PREVIOUS_ARTICLE,Previous article,PREVIOUS_ARTICLE,True,"{""language_style"": ""simple""}",0.711,3.895,4.606
gen_38,මට මේකේ තේරුම හරියටම විස්තර කරලා දෙන්න,EXPLAIN,Let me know exactly what this means.,EXPLAIN,True,"{""language_style"": ""simple""}",2.016,3.865,5.881
gen_39,කියවන එක පොඩ්ඩකට නවත්වන්න,STOP,Stop reading for a while.,STOP,True,"{""speed"": ""slow""}",1.475,3.738,5.213
gen_40,දේශපාලන ප්‍රවෘත්ති තියෙන කොටසට යන්න,NAVIGATE_SECTION,Go to the section with political news,NAVIGATE_SECTION,True,"{""language_style"": ""simple""}",1.726,4.016,5.742
gen_41,ඊළඟ එකට යන්න නෑ නෑ කලින් එකට යන්න,PREVIOUS_ARTICLE,We don't have to go to the next one.,NEXT_PAGE,False,"{""language_style"": ""simple""}",2.566,3.864,6.43
gen_42,මේ ලිපියේ අදහස වෙනස් විදිහකට පැහැදිලි කරන්න,REPHRASE,Explain the idea of this article in a different way,EXPLAIN,False,"{""language_style"": ""simple""}",2.749,3.915,6.664
gen_43,මට වෙලාව නෑ මේක ඉක්මනින් සාරාංශ කරලා කියන්න,SUMMARIZE,I don't have time to summarize this quickly.,NEXT_PAGE,False,"{""speed"": ""slow""}",2.884,3.872,6.756
gen_44,මේක ගොඩක් සංකීර්ණයි සරලව කියන්න,SIMPLIFY,It's very complicated.,SIMPLIFY,True,"{""language_style"": ""simple""}",1.64,3.861,5.501
gen_45,මුලටම යන්න,GO_TO_START,Go to the beginning,GO_TO_START,True,"{""language_style"": ""simple""}",1.213,3.895,5.109
gen_46,අවසන් පිටුවට යන්න,GO_TO_END,Go to the last page,GO_TO_END,True,"{""language_style"": ""simple""}",1.385,3.806,5.191
gen_47,ඔය වාක්‍යය විතරක් ආයෙත් කියවන්න,REPEAT,Just read that sentence again.,REPEAT,True,"{""speed"": ""fast""}",1.474,3.759,5.233
gen_48,මේකෙන් කියවෙන්නේ මොකක්ද කියලා මට තේරෙන විදිහට කියන්න,EXPLAIN,This is what it means . Tell me how I understand .,EXPLAIN,True,"{""language_style"": ""simple""}",2.692,3.917,6.609
gen_49,ඊළඟ ප්‍රවෘත්තිය කියවන්න පටන් ගන්න,NEXT_ARTICLE,Start reading the next news .,NEXT_ARTICLE,True,"{""language_style"": ""simple""}",1.357,3.891,5.248
gen_50,නවතින්න,STOP,Stop it .,STOP,True,"{""speed"": ""fast""}",0.924,3.515,4.439
gen_51,අන්තර්ජාතික පුවත් පිටුවට යන්න,NAVIGATE_SECTION,Go to the international news page,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.395,3.865,5.26
gen_52,මේ ඡේදය සාරාංශ කරන්න,SUMMARIZE,Summarize this section,SUMMARIZE,True,"{""language_style"": ""simple""}",1.289,3.987,5.277
gen_53,කලින් පිටුවට ආපහු යන්න ඕනේ,PREVIOUS_PAGE,I need to go back to the previous page,PREVIOUS_PAGE,True,"{""language_style"": ""simple""}",2.013,3.891,5.904
gen_54,අද පත්තරේ විශේෂාංග ලිපි මොනවද,READ_HEADLINES,What are the special features of the paper,IDENTIFY_CONTENT,False,"{""language_style"": ""simple""}",1.925,3.825,5.75
gen_55,මට තේරුණේ නෑ ආයේ සැරයක් කියවන්න,REPEAT,I don't understand. Read it again.,EXPLAIN,False,"{""language_style"": ""simple""}",2.327,3.851,6.177
gen_56,මේ සිද්ධිය ගැන තව විස්තර තියෙනවද ඒක පැහැදිලි කරන්න,EXPLAIN,Is there any more details about this incident to explain it,EXPLAIN,True,"{""detail_level"": ""detailed""}",2.422,4.01,6.432
gen_57,මේක වෙන විදිහකට කියන්න පුළුවන්ද,REPHRASE,Can you say this any other way ?,REPHRASE,True,"{""language_style"": ""simple""}",1.845,4.045,5.89
gen_58,මේකේ ප්‍රධාන අදහස විතරක් කෙටියෙන් කියන්න,SIMPLIFY,Let me just say the main idea of this briefly.,SUMMARIZE,False,"{""language_style"": ""brief""}",2.511,3.955,6.467
gen_59,ඉස්සරහට යන්න,NEXT_PAGE,Go ahead,NEXT_PAGE,True,"{""language_style"": ""simple""}",0.829,3.73,4.559
gen_60,ඔතනින් නවත්වන්න,STOP,Stop there .,STOP,True,"{""speed"": ""fast""}",0.887,3.597,4.484
gen_61,පළවෙනි පිටුවට යන්න,GO_TO_START,Go to the first page,GO_TO_START,True,"{""language_style"": ""simple""}",1.373,3.855,5.229
gen_62,මේකේ ඉතුරු ටික කියවන්න,READ_ARTICLE,Read the rest of this .,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.565,3.924,5.489
gen_63,මේ ප්‍රවෘත්තියේ හරය මොකක්ද,SUMMARIZE,What is the heart of this news?,EXPLAIN,False,"{""language_style"": ""simple""}",1.942,3.871,5.814
gen_64,දිනමිණ එකේ අද ක්‍රීඩා සිරස්තල ටික කියවන්න,READ_HEADLINES,Read the headlines of today's games in the Daily Mail,READ_HEADLINES,True,"{""language_style"": ""simple""}",2.856,4.14,6.996
gen_65,අංක පහ පිටුවට යන්න,NAVIGATE_PAGE_NUMBER,Go to page five,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.137,3.8,4.937
gen_66,මට මේ ලිපිය තේරුම් ගන්න අමාරුයි සරලව කියන්න,SIMPLIFY,I find this article difficult to understand.,EXPLAIN,False,"{""language_style"": ""technical""}",1.892,3.856,5.749
gen_67,අන්තිමට කියපු දේ ආයෙත් කියන්න,REPEAT,Say what you said last .,REPEAT,True,"{""speed"": ""fast""}",1.489,3.743,5.232
gen_68,මේක මට පැහැදිලි කරලා දෙන්න පුළුවන්ද,EXPLAIN,Can you explain this to me ?,EXPLAIN,True,"{""language_style"": ""simple""}",1.733,3.823,5.556
gen_69,පිටුව පෙරලන්න,NEXT_PAGE,Page to be redirected,NEXT_PAGE,True,"{""language_style"": ""simple""}",1.521,3.843,5.364
gen_70,මට මේ ප්‍රවෘත්තිය වෙනස් වචන වලින් කියල දෙන්න,REPHRASE,Let me tell you the news in different words .,REPHRASE,True,{},2.3,3.752,6.052
gen_71,කියවීම අවසන් කරන්න,STOP,Finish reading,STOP,True,"{""speed"": ""fast""}",0.97,3.609,4.578
gen_72,කලින් ප්‍රවෘත්තිය,PREVIOUS_ARTICLE,Previous story,PREVIOUS_ARTICLE,True,"{""language_style"": ""simple""}",0.822,3.972,4.794
gen_73,මේකේ සාරාංශයක් මට දෙන්න,SUMMARIZE,Give me a summary of this .,SUMMARIZE,True,"{""language_style"": ""simple""}",1.862,3.975,5.836
gen_74,විනෝදාස්වාද පුවත් තියෙන තැනට යන්න,NAVIGATE_SECTION,Go to the place where there is entertainment news,NAVIGATE_SECTION,True,"{""language_style"": ""simple""}",2.299,4.06,6.359
gen_75,මේ ඡේදයේ තේරුම මොකක්ද කියලා පැහැදිලි කරන්න,EXPLAIN,Explain what this verse means.,EXPLAIN,True,"{""language_style"": ""simple""}",1.798,3.822,5.619
gen_76,තව ටිකක් සරල කරලා කියන්න,SIMPLIFY,Just make it a little easier .,SIMPLIFY,True,"{""language_style"": ""simple""}",1.667,3.87,5.537
gen_77,ඊළඟ සිරස්තලය මොකක්ද,NEXT_ARTICLE,What's the next headline?,NEXT_ARTICLE,True,"{""language_style"": ""simple""}",1.738,3.859,5.597
gen_78,ඇහුණේ නෑ නැවත කියන්න,REPEAT,I didn't hear you say it again.,REPEAT,True,"{""speed"": ""fast""}",2.13,3.766,5.896
gen_79,ඔය අදහසම වෙන විදිහකට කියන්න,REPHRASE,You can tell me the same idea in another way.,REPHRASE,True,{},2.284,3.685,5.97
gen_80,මේ මුළු ලිපියම සාරාංශ කරලා කියන්න,SUMMARIZE,This is the whole article I want to summarize.,SUMMARIZE,True,"{""language_style"": ""simple""}",2.372,51.922,54.294
gen_81,පිටු අංක දහයට යන්න,NAVIGATE_PAGE_NUMBER,Go to page number ten,NEXT_PAGE,False,"{""language_style"": ""simple""}",0.794,4.001,4.795
gen_82,ඔතනින් නවතින්න,STOP,Stop there.,STOP,True,"{""speed"": ""fast""}",1.003,3.743,4.746
gen_83,පෙර සිරස්තලයට යන්න,PREVIOUS_ARTICLE,Before heading to the top,GO_TO_START,False,"{""language_style"": ""simple""}",1.481,3.931,5.412
gen_84,මේක මට තේරෙන භාෂාවෙන් සරලව කියන්න,SIMPLIFY,This is something I can understand.,EXPLAIN,False,"{""language_style"": ""simple""}",1.483,3.836,5.319
gen_85,මුල් පිටුවට යන්න,GO_TO_START,Go to the original page,GO_TO_START,True,"{""language_style"": ""simple""}",1.157,3.868,5.025
gen_86,මේ ප්‍රවෘත්තිය විස්තරාත්මකව කියන්න,EXPLAIN,Tell me the news in detail .,SUMMARIZE,False,"{""detail_level"": ""detailed""}",1.545,4.012,5.556
gen_87,ඊළඟ පිටුවේ මොනවද තියෙන්නේ,NEXT_PAGE,What's on the next page?,NEXT_PAGE,True,"{""language_style"": ""simple""}",1.672,3.781,5.453
gen_88,අද පත්තරේ වැදගත්ම පුවත කියවන්න,READ_ARTICLE,Read the most important news in today's paper,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.9,3.941,5.841
gen_89,මේකෙන් අදහස් කරන්නේ මොකක්ද කියලා වෙන විදිහකට පැහැදිලි කරන්න,REPHRASE,Explain what this means in another way.,EXPLAIN,False,"{""language_style"": ""simple""}",1.981,3.794,5.775
gen_90,ආයෙත් මුල ඉඳන් කියවන්න,REPEAT,Read it again from the beginning .,READ_HEADLINES,False,"{""speed"": ""fast""}",1.543,3.917,5.459
gen_91,කෙටි සාරාංශයක් දෙන්න,SUMMARIZE,Give me a short summary,SUMMARIZE,True,"{""language_style"": ""simple""}",1.347,3.866,5.212
gen_92,ප්‍රාදේශීය පුවත් පිටුවට යන්න,NAVIGATE_SECTION,Go to the local news page,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.405,3.779,5.184
gen_93,මේ කියන දේ මට පැහැදිලි නෑ සරල කරන්න,SIMPLIFY,I don't know what this is saying.,EXPLAIN,False,"{""language_style"": ""simple""}",2.196,3.78,5.975
gen_94,ඔව් ඊළඟ එකට යමු,NEXT_ARTICLE,"Yeah, let's go to the next one.",NEXT_PAGE,False,"{""language_style"": ""simple""}",2.298,3.978,6.276
gen_95,නෑ නෑ කලින් එකට,PREVIOUS_ARTICLE,"No, not before.",PREVIOUS_ARTICLE,True,"{""language_style"": ""simple""}",1.286,3.945,5.231
gen_96,මේ පුවත ගැන තව දුරටත් විස්තර කරන්න,EXPLAIN,Please explain more about this news,EXPLAIN,True,"{""language_style"": ""simple""}",1.371,3.854,5.225
gen_97,දැන් ඇති නවත්වන්න,STOP,Now enough to stop,STOP,True,"{""speed"": ""fast""}",1.01,3.713,4.723
gen_98,මේකේ තියෙන කරුණු ටික වෙනස් විදිහකට ගොනු කරලා කියන්න,REPHRASE,Let me just file the details in a different way.,REPHRASE,True,{},2.241,3.67,5.912
gen_99,දිනමිණ පත්තරේ අද මුල් පිටුවේ සිරස්තල ටික කියවන්න,READ_HEADLINES,Read the headlines of the daily newspaper Today's Homepage,READ_HEADLINES,True,"{""language_style"": ""simple""}",2.717,3.957,6.673
gen_100,මේක සම්පූර්ණයෙන්ම සාරාංශ කරන්න,SUMMARIZE,This is a complete summary.,SUMMARIZE,True,"{""language_style"": ""simple""}",1.527,3.882,5.409
gen_101,ඊළඟ පිටුවට යමු,NEXT_PAGE,Let's go to the next page.,NEXT_PAGE,True,"{""language_style"": ""simple""}",1.97,3.882,5.852
gen_102,ඊළඟට තියෙන පිටුව පෙරලන්න,NEXT_PAGE,Turn the next page,NEXT_PAGE,True,"{""language_style"": ""simple""}",1.021,3.789,4.81
gen_103,මේ පිටුව ඉවරයි ඊළඟ එකට යන්න,NEXT_PAGE,This page is over . Go to the next one .,NEXT_PAGE,True,"{""language_style"": ""simple""}",2.21,3.842,6.052
gen_104,අපහු කලින් පිටුවට යන්න,PREVIOUS_PAGE,We're going to the page.,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.663,3.791,5.454
gen_105,පිටු අංක දෙකට ආපහු යන්න,PREVIOUS_PAGE,Go back to page two,PREVIOUS_PAGE,True,"{""language_style"": ""simple""}",1.314,3.896,5.21
gen_106,පෙර පිටුව,PREVIOUS_PAGE,Other articles,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",0.784,3.801,4.586
gen_107,ආපස්සට යන්න,PREVIOUS_PAGE,Go back to the drawing board.,PREVIOUS_ARTICLE,False,"{""language_style"": ""simple""}",1.951,3.925,5.876
gen_108,ඉස්සරහට යන්න,NEXT_PAGE,Go ahead,NEXT_PAGE,True,"{""language_style"": ""simple""}",0.64,3.764,4.404
gen_109,තව ඉස්සරහට පිටුවක් පෙරලන්න,NEXT_PAGE,Turn a page further ahead,NEXT_PAGE,True,"{""language_style"": ""simple""}",1.182,3.814,4.996
gen_110,කලින් කියවපු පිටුවටම යන්න,PREVIOUS_PAGE,Previously on Go to the country,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.499,3.86,5.36
gen_111,දැන් කියෙව්වා ඇති,STOP,I've read enough.,STOP,True,"{""speed"": ""fast""}",1.396,3.623,5.019
gen_112,පොඩ්ඩක් නවත්වන්න,STOP,Stop it a little bit.,STOP,True,"{""speed"": ""fast""}",1.416,3.708,5.124
gen_113,හරි ඔතනින් නවතින්න,STOP,"Okay , stop there .",STOP,True,"{""speed"": ""fast""}",1.197,3.609,4.806
gen_114,කියවීම නවතන්න,STOP,Stop reading,STOP,True,"{""speed"": ""fast""}",0.699,3.582,4.281
gen_115,මට ආයේ ඒක අහන්න ඕනේ,REPEAT,I want to hear it again .,REPEAT,True,"{""speed"": ""fast""}",1.515,3.91,5.425
gen_116,ඔය කියපු ටික ආයෙත් කියන්න,REPEAT,Say it again .,REPEAT,True,"{""speed"": ""fast""}",1.013,3.779,4.792
gen_117,නැවත වතාවක් කියවන්න,REPEAT,Read it again .,REPEAT,True,"{""speed"": ""fast""}",1.05,3.759,4.809
gen_118,මට ඒක ඇහුනේ නෑ ආයෙත් කියන්න,REPEAT,I didn't hear it. I'll say it again.,REPEAT,True,{},2.988,3.759,6.748
gen_119,මුල ඉඳන් ආයෙත් කියවන්න පුළුවන්ද,REPEAT,Can you read it again from the beginning ?,READ_HEADLINES,False,{},1.911,3.701,5.612
gen_120,මොකක්ද ඒ කිව්වේ,REPEAT,What did that say?,EXPLAIN,False,"{""language_style"": ""simple""}",1.385,3.809,5.193
gen_121,මේ ලිපියේ සාරාංශය මොකක්ද,SUMMARIZE,What is the summary of this article,SUMMARIZE,True,"{""language_style"": ""simple""}",1.749,3.819,5.568
gen_122,මට මේක කෙටියෙන් පැහැදිලි කරන්න,SUMMARIZE,Let me explain this briefly.,EXPLAIN,False,"{""detail_level"": ""brief""}",1.451,3.786,5.236
gen_123,මුළු ප්‍රවෘත්තියම නැතුව සාරාංශය විතරක් දෙන්න,SUMMARIZE,I'm just going to give you a summary without the whole news.,SUMMARIZE,True,"{""detail_level"": ""brief""}",3.133,3.993,7.126
gen_124,වැදගත්ම කරුණු ටික විතරක් සාරාංශ කරන්න,SUMMARIZE,Just summarize the most important points.,SUMMARIZE,True,"{""language_style"": ""simple""}",1.854,3.862,5.716
gen_125,මේකේ තියෙන දේ කොටිකරලා කියන්න,SUMMARIZE,Tell me what's in this.,SUMMARIZE,True,"{""language_style"": ""simple""}",1.764,3.797,5.561
gen_126,අන්තර්ගතය කෙටියෙන් කියන්න,SUMMARIZE,Give a brief summary of the content,SUMMARIZE,True,"{""language_style"": ""simple""}",1.651,3.961,5.612
gen_127,සාරාංශයක් දෙන්න පුළුවන්ද,SUMMARIZE,Can I give you a summary ?,SUMMARIZE,True,"{""language_style"": ""simple""}",1.7,3.92,5.62
gen_128,ලොකු විස්තරයක් ඕනෙ නෑ සාරාංශය කියන්න,SUMMARIZE,Big detail doesn't need to be summarized.,EXPLAIN,False,"{""detail_level"": ""detailed""}",2.307,3.897,6.204
gen_129,මේ පුවත කෙටි කරලා කියවන්න,SUMMARIZE,Read this briefing .,READ_ARTICLE,False,"{""language_style"": ""simple""}",1.141,3.809,4.95
gen_130,සාරාංශය කියවන්න,SUMMARIZE,Read the summary,SUMMARIZE,True,"{""language_style"": ""simple""}",0.977,3.835,4.812
gen_131,මේක මට තේරෙන්නේ නෑ විස්තර කරන්න,EXPLAIN,I don't understand this.,EXPLAIN,True,"{""language_style"": ""simple""}",1.603,3.892,5.495
gen_132,මේ කරුණ තවදුරටත් පැහැදිලි කරන්න,EXPLAIN,Please explain this further.,EXPLAIN,True,"{""language_style"": ""simple""}",1.366,3.81,5.176
gen_133,මේකෙන් අදහස් කරන්නේ මොකක්ද කියලා විස්තර කරන්න,EXPLAIN,Explain what this means.,EXPLAIN,True,"{""language_style"": ""simple""}",1.509,3.808,5.317
gen_134,තව ටිකක් පැහැදිලි කරලා දෙන්න පුළුවන්ද,EXPLAIN,Can you explain a little more ?,EXPLAIN,True,"{""language_style"": ""simple""}",1.536,3.898,5.434
gen_135,මේ අමාරු වචන ටික සරලව කියන්න,SIMPLIFY,These are some hard words to say simply,SIMPLIFY,True,"{""language_style"": ""simple""}",1.78,3.924,5.704
gen_136,මට තේරෙන විදිහට සරල කරන්න,SIMPLIFY,I understand . Make it simple .,SIMPLIFY,True,"{""language_style"": ""simple""}",1.54,3.925,5.465
gen_137,ගොඩක් බර වචන නැතුව සරලව කියන්න,SIMPLIFY,I'm not saying that with too many words.,EXPLAIN,False,"{""detail_level"": ""detailed""}",2.527,3.877,6.404
gen_138,මේකේ තේරුම සරල භාෂාවෙන් කියන්න,SIMPLIFY,This means in simple langage,SIMPLIFY,True,"{""language_style"": ""simple""}",1.305,3.846,5.151
gen_139,පැහැදිලිව තේරුම් කරලා දෙන්න,EXPLAIN,Make it clear,EXPLAIN,True,"{""language_style"": ""simple""}",0.893,3.782,4.675
gen_140,පොඩි ළමයෙකුට වගේ සරලව කියන්න,SIMPLIFY,Say it like a little kid .,SIMPLIFY,True,"{""language_style"": ""simple""}",1.583,3.839,5.421
gen_141,මේක වෙන විදිහකට පැහැදිලි කරන්න,REPHRASE,Explain this in another way.,EXPLAIN,False,"{""language_style"": ""simple""}",1.761,3.776,5.537
gen_142,ඔය අදහසම වෙන වචන වලින් කියන්න පුළුවන්ද,REPHRASE,Can you put that idea in other words ?,REPHRASE,True,{},2.023,3.654,5.678
gen_143,වෙනත් ආකාරයකට මේක කියන්න,REPHRASE,Another way to say it.,REPHRASE,True,"{""language_style"": ""simple""}",1.345,3.96,5.304
gen_144,මේකේ අර්ථය වෙනස් නොකර වෙන විදිහකට කියන්න,REPHRASE,Don't change the meaning of this.,EXPLAIN,False,"{""language_style"": ""simple""}",2.007,3.834,5.841
gen_145,මෙහි ඇත්තේ මොනවද කියලා කියන්න,IDENTIFY_CONTENT,Tell me what's in here.,SUMMARIZE,False,"{""language_style"": ""simple""}",1.641,3.86,5.502
gen_146,මේ පිටුවේ තියෙන මාතෘකා මොනවද,IDENTIFY_CONTENT,What are the topics on this page?,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.947,3.869,5.816
gen_147,මේ ප්‍රවෘත්තියට අදාළව තියෙන්නේ මොනවද,IDENTIFY_CONTENT,What's the news about this?,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.628,3.858,5.486
gen_148,මේක ඇතුලේ තියෙන දේවල් මොනවද,IDENTIFY_CONTENT,What's in this?,READ_ARTICLE,False,"{""language_style"": ""simple""}",1.311,3.773,5.084
gen_149,වෙනත් වචන භාවිතා කරලා කියන්න,REPHRASE,Other words used to say,EXPLAIN,False,"{""language_style"": ""simple""}",1.124,3.805,4.929
gen_150,මේකේ අන්තර්ගතය මොකක්ද කියලා හඳුනාගන්න,IDENTIFY_CONTENT,Find out what's in this.,IDENTIFY_CONTENT,True,"{""language_style"": ""simple""}",1.752,3.8,5.552
gen_151,අංක පහ පිටුව පෙරලන්න,NAVIGATE_PAGE_NUMBER,Number five page to turn,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.165,3.803,4.967
gen_152,පිටු අංක අටට යන්න,NAVIGATE_PAGE_NUMBER,Page number eight to go,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.181,3.785,4.966
gen_153,දොළොස්වෙනි පිටුවට යමු,NAVIGATE_PAGE_NUMBER,Let's go to the twelfth page.,NEXT_PAGE,False,"{""language_style"": ""simple""}",2.223,3.825,6.049
gen_154,පළවෙනි පිටුවටම ආපහු යන්න,GO_TO_START,Go back to the first page,GO_TO_START,True,"{""language_style"": ""simple""}",1.375,3.874,5.249
gen_155,මුලටම යමු,GO_TO_START,Let's go first.,GO_TO_START,True,"{""language_style"": ""simple""}",1.353,3.868,5.221
gen_156,පුවත්පතේ අගටම යන්න,GO_TO_END,Go to the newspaper,NEXT_ARTICLE,False,"{""language_style"": ""simple""}",1.222,3.827,5.049
gen_157,අවසන් පිටුවට පෙරලන්න,GO_TO_END,Go to the last page,GO_TO_END,True,"{""language_style"": ""simple""}",1.205,3.769,4.974
gen_158,ලෝක පුවත් පිටුවට යන්න,NAVIGATE_SECTION,Go to the World News page,NEXT_PAGE,False,"{""language_style"": ""simple""}",1.328,3.723,5.051
